Issue title,HM5_ISSUE_DESC
"SWITCH CLUSTER IS ROTATING IN AND HAVING A  PLAY IN Y DIRECTION,SINK MARK VISIBLE,PRINTING ISSUE,MATCHING ISSUE","SWITCH CLUSTER IS ROTATING IN AND HAVING A  PLAY IN Y DIRECTION,SINK MARK VISIBLE,PRINTING ISSUE,MATCHING ISSUE"
RUST OBSERVED INSIDE FUEL TANK.,"Rust observed inside fuel tank , Issue observed in ADJS_M1  Fleet testing  vehicle @0 km.  Vehicle details- UID - ADJS2009 (Xtreme 125R with ETB) ODO - 0 km  Vehicle receiving date : 05.03.2025  It may further mix with petrol. Although Existing setup, CQA to provide detailed analysis for logical closure of PTS."
KNUCKLE GUARD ERGONOMIC VERIFICATION.,1. Finger fouling with the knuckle guard is observed during operation. 2. Knuckle guard and stays edges are observed sharp. 3. LH-side knucle guard wind protection coverage is not satisfactory.
LH & RH MIRROR STEMS ARE NOT SYMMENTRICAL AND GAP B/W GRIP AND MIRRORS ARE LESS.,"a) LH & RH mirror stems are not symmentrical.     b) Distance of mirror from grip is less in LH-mirror. As a result, if the rider uses gloves then mirror fouls with the gloves of rider. Also, rider has to tilt his neck downward to have the clear view in the mirror with respect to the right mirror. Recommend to have the symmetrical shape for both the mirror's stem and increase the distance of the mirror from grip to 120mm."
ETB SELF LEARNING REQUIRED,Learning of ETB [if required] to be done automatically [to turn ON/OFF ignition switch]
"REAR SPEED SENSOR ROUTING IS NOT PROPER,",Rear Speed Sensor routing is not proper in ADJS_M1 Fleet testing  vehicle @0 km.  Vehicle details- UID - ADJS 2009 (Xtreme 125R With ETB) ODO - 0 km
SECONDARY O2 SENSOR PROTECTOR COVER REQUIRED ON MUFFLER,Secondary O2 Sensor Protector Cover Required on Muffler
RATTLING NOISE OBSERVED FROM HANDLE COVER AT 25 TO 35 KMPH SPEED IN ABHN PP1 FLEET VEHICLE. REFER REPORT - VV_RG_2024_11600,Rattling noise observed from handle cover at 25 to 35 kmph speed in ABHN PP1 FLEET vehicle. Refer report number - VV_RG_2024_11600 Handle cover and mating parts handed over to QA team for analysis
"HARNESS BOOT CONGESTED, DIFFICULTY IN ASSEMBLY.",LH side booting issue(Congested area due to 2 no of new coupler added)
HEADLIGHT SPREAD WAS OBSERVED SHIFTED TOWARDS THE LEFT SIDE,"Headlight spread was observed shifted towards the left side (refer image 1). Also, on inspection it was observed that the headlight mounting is not on the correct position (refer image 2)."
RUST OBSERVED ON REAR CUSHION MOUNTING BRACKET ON FRAME,"Rust observed on rear cushion mounting bracket on frame with in 2 months of testingframe  in ADHL_M1 fleet testing vehicle.  Vehicle Details:- UID:-  ADHL_2001(OBD 2 Phase B with E-85) Km:- 10000 km  Although Existing setup, CQA to provide detailed analysis for logical closure of PTS."
FRONT COWL FITMENT HARD WITH INNER PANEL,Front cowl harness bellow position change in inner panel due to front cowl hard fitment
FRONT BRK SWITCH COUPLER WIRE CODE NOT AS PER DESIGN,Front BRK switch coupler wire code not as per design  As per design it should be -L/P Actual on harness -P/R
OIL LEAKAGE OBSERVED FROM GSD PLUG,"Oil leakage observed from GSD in ADHL_M1 fleet testing vehicle.  Vehicle Details:- UID:-  ADHL_2001(OBD 2 Phase B with E-85) Km:- 7500 km   Although Existing setup, CQA to provide detailed analysis for logical closure of PTS."
BANK ANGLE SENSOR HARNESS WIRE LENGTH EXCESS,Bank angle sensor wire create the loop
WATER ENTRY OBSERVED IN HEAD LIGHT.,"During Vehicle Washing test, Water Wade test & Shower test. Water entry observed in HeadLight.  Vendor:-UNO MINDA       Vehicle UID:- ADYC4007"
INNER PANEL FOULING WITH IGNITION LOCK,Inner panel dmage
IMAGE BLUR OBSERVED IN MIRROR ASSY DURING VIBRATION TEST ( X-DIRECTION),Image blur observed in mirror assy during vibration test ( X-direction)
HARNESS ROUTING ON THE VEHICLE IS NOT AS PER ILLUST DRAWING,"Harness routing on the vehicle (ACRF4001) is not as per Illust drawing uploaded on the PLM with the Drawing No. - ACRGVSP0000. As a result, the Routing verification test couldn't be performed and hence the PUV test is on HOLD."
VEHICLE IS STARTING ONLY WITH CLUTCH APPLICATION,Vehicle is starting only with clutch application
HANDLE BAR CRACKED OBSERVED,In ADJR PP1 Road simulator vehicle Handle Bar cracked observed after 44 hrs of durability test against target of 60 hrs.
CUT INITIATED EXTERNAL FUEL FILTER MOUNTING RUBBER GROMMET,Cut initiated external fuel filter mounting rubber grommet in ADHL_M1 fleet testing vehicle.  Vehicle Details:- UID:-  ADHL_2001(OBD 2 Phase B with E-85) Km:- 5000 km  Sample parts - Fuel filter and Rubber grommet
CLAMP FOR TAIL BOOT HOLDING IN WIRE HARNESS IS REQUIRED,Clamp for tail boot holding in wire harness is required
ROUTING VERIFICATION (BATTERY BAND NOT AS PER LAYOUT SPEC ),Battery band not as per layout spec
OPS WIRE LENGTH EXCESS & FOULING,Oil Pressure Switch Wire length excess & fouling with Cylinder head.
ETG COUPLER WIRE COLOUR NOT AS PER DESIGN,ETG coupler wire colour not as per design  As per design it should be -L/W Actual on harness -L/G
REAR WHEEL COLLAR FITMENT,Rear wheel Collar falling during rear caliper assembly. No holding provision available.
"BRAKE SWITCH PLAUSIBILITY ERROR REPORTED IN ADJR 4014, ADJR 4008 VEHICLES. SAME IS THE OBSERVATION IN ALL THE FLEET VEHICLES.","brake switch plausibility error reported in ADJR 4014, ADJR 4008 Vehicles. Same is the observation in all the fleet vehicles."
PREVENTION OF UN-AUTHORIZED USAGE,"Flex fuel filter tempering is possible.  1. Open LH utility cover using by hand. 2. Remove fuel hose (3nos) using by hand. Filter tampering is possible by bare hand, However, when key is in OFF condition fuel can not comes out.  Recommend to provide foolproofing for filter so that it can't be tampered."
SILVER FINISH CHANGE REQUIRED IN HECU 2 CHANNEL,1. SILVER COLOUR FINISH OF THE PART IS AESTHETICALLY NOT OK.  2. STRIPES ON THE PART IS IN THE VISIBLE ZONE AESTHETICALLY NOT OK.
GAP BETWEEN UTILITY BOX COVER LHS & FUEL TANK OBSERVED MORE,"Gap between utility box cover LHS & fuel tank observed more in ADHL_M1 fleet testing vehicle.  observed gap - Front 26mm, Centre 18mm, Rear 20mm  Other observation- Fuel hose coupler  & Wire harness boot completly visible   Vehicle Details:- UID:-  ADHL_2001(OBD 2 Phase B with E-85) Km:- 0 km   Sample Parts -  Utility box cover LH"
GEAR SHIFTING HARD,"Gear Shifting Hard in MBLYGU122R4G00002, needs to be analysed."
"WITH ADJUSTABLE LEVERS, REACH FELT FAR AND CAUSING DISCOMFORT TO THE RIDER.","1. With adjustable clutch lever, at 5th position, the shape and size of the usable length of the lever is felt less as there is no sufficient space for the little finger to hold. 2. With the other setting position (from 4th position to 1st position), the lever reach keeps on getting far and discomfort is felt by the rider."
ENGINE HESITATION OBSERVED IN ACRG_4011 MASTER VEHICLE.,"Engine Hesitation observed on below condition in ACRG_4011 master vehicle - 1st Gear- 2000 ~ 3500 RPM- Strong 5500 ~ 6700 - Mild (constant & Gradually) 2nd Gear -2200~ 4000 RPM Strong 5000~ 6000 - Mild (constant & Gradually) 3rd Gear - 2800~4800 RPM - Strong hesitation   Remark- VV recommended severity is B, Issue already discussed with Rajagopal."
BOTH SIDE MIRROR ADJUSTMENT OBSERVED TO BE HARD (UNABLE TO ADJUST),Side mirror adjustment observed to be hard (Unable to adjust) in ADJR_PP1  ODT testing  vehicle @0 km.  Vehicle details-  UID - ADJR4015  ( Glamour xtech 2.0 with ETB) ODO - 0 km   Note: At the same time New Mirror sample assembled on vehicle. Adjustment force observed  - 4.97 kgf Adjustment force observed in base vehicle (ADJT) -  1.66 kgf
GEAR INDICATION MALFUCNTION IN METER. WRONG INDICATION SHOWING IN METER,Gear indication malfucntion in meter. Wrong indication showing in meter
MUFFLER COVER SENSOR MOUNTING BOLT FREE.,"Muffler Cover Sensor Mounting bolt free, bolt observed pre-fit from supplier."
THROTTLE BODY COUPLER WIRE VISIBLE (ASTHETIC NG) ETB,Throttle body coupler wire visible (Asthetic NG) ETB
CLUTCH INNER CABLE RUBBING WITH OUTER CASING CUT OBSERVED,ADJR PP1 Clutch inner cable rubbing with outer casing cut observed
P.S. NOT UPDATED,Product Specification to be updated with new SW version
FRONT BRAKE HOSE FOULING WITH FRONT BOTTOM BRIDGE.,"Front brake hose fouling with front bottom bridge in AAKN PP1 _ Fleet Test Vehicle.   Vehicle Km - 0 km Vehicle UID - AAKN_4016   Although Existing setup, CQA to provide detailed analysis for logical closure of PTS."
CLUTCH CABLE MAKING SHARP LOOP NEAR MUFFLER AREA,Clutch Cable Making sharp Loop near muffler area
DTC NOT SHOWING IMMEDIATELY,"When the 2nd O2 sensor coupler is disconnected, the DTC error alarm is not displayed immediately on the speedometer. After Engine start the time it takes for the DTC erro"
A BUG OBSERVED WRT BCM,Rear Left winker is getting flashed each time when ignition is turned ON.
INJECTOR COUPLER REMOVAL & ASSEMBLY VERY DIFFICULT. HINDERANCE OBSERVED WIH CYLINDER HEAD COVER,Injector coupler removal & assembly very difficult. Hinderance observed wih cylinder head cover
VEHICLE STALLING DURING BRAKING AND IDLING.,"Vehicle stalling during braking and idling. There is a fluctuation in the Idling RPM, It is unstable in all the modes and it is very frequent in Drag Mode. Issue observed in  ACRG_4011 master vehicle during DR test.  Note- Issue observed with new calibration Cal 05 ( cal id- B62ACRGHH00R04P1)"
"NO TOOL ACCESS FOR MUFFLER 3RD MOUNTING, TOOL FOULING WITH RIDER STEP RH.","No tool access for muffler 3rd mounting, tool fouling with rider step RH."
ENGINE OIL TEMPERATURE SENSOR SIGNAL IS STUCK AND MIL IS ON,"Engine oil temperature sensor signal is stuck and MIL is on, unable to start activity"
ABVA_PP1.2 TWO POSTER VEHICLE RUBBER SEAT STAY MOUNT DAMAGED,ABVA_PP1.2 Two poster vehicle Rubber seat stay mount damaged observed post inspection(65 hrs)
GRILL BODY COVER,Grill body cover and centre cover gap more - Gap specs. not defined
NEUTRAL POSITION IS NOT SHOWING ON SPEEDOMETER IN ACRG_4012 M1 FLEET VEHICLE.,"Neutral position is not showing on speedometer in ACRG_4012 M1 fleet vehicle.   Remark- VV recommended severity is B, Issue already discussed with Coc sujit sahoo."
BATTERY NEGATIVE CABLE LOOP.,Battery Negative Cable Extra Loop observed.
O2 SENSOR COUPLER LENGTH SHORT,O2 sensor coupler clip not insert in frame bkt due to length short
I3S FUNCTION NOT WORKING,"I3s function not working, after i3s function switch on vehicle not getting off.  in ADHL_M1 fleet testing vehicle.  Vehicle Details:- UID:-  ADHL_2001(OBD 2 Phase B with E-85) Km:- 7500 km  Vehicle running for OBDII Ph B Flex Fuel (E85)  Issue shown to Mr.Kushal From electrical dept"
WATER ENTRY OBSERVED IN CLUTCH SWITCH COUPLER.,"During Washing, Water Wade & Shower test water enrty observed in Clutch Switch coupler.  Vendor:- NAPINO         Vehicle UID:- ADHL2002"
"WHEN FOV CHECKED WITH ACWA MIRRORS, MIRROR ADJUSTMENT IS NOT SATISFACTORY","When FOV trail performed on ACRG with ACWA mirrors after MLH and BE team's request, Mirror assembly mounting on handlebar observed satisfactory. However, mirror adjustment of both the mirrors (LH & RH) towards the rider side are not satisfactory (refer attached image). Recommend to have the ball (of the ball and socket joint) to be at the centre of the mirror's socket after correct adjustment by the rider."
BLACK COLOR SCREW NEED TO BE USE,BLACK COLOR SCREW NEED TO BE USE
I3S NOT WORKING,"I3S IS NOT WORKING IN ABHL M1 E-20, OBD- 2.1, OUTDOOR FLEET VEHICLE, PROBLEM WAS PRESENT FROM INITIAL STAGE."
SET PUNCH MARK FOR ADJUSTABLE LEVER IS NOT AVAILABLE ON HANDLEBAR,The set punch mark for the adjustable levers are not available on the handlebar.
FRONT BRAKE FEEL SPOUNGY AND INEFFECTIVE DURING BRAKING.,Front brake feel spoungy and ineffective during braking. Issue observed in ACRG_4011 FD master vehicle. Issue already disscused with FD team.  VV recommended severity is A.
UTILITY COVER ' LH',Unable to mount the Utility cover LH due to mounting stay missing from fuel tank.
"BANK ANGLE SENSOR WIRE HARNESS LENGTH EXCESS, FORMING LOOP","Bank angle sensor wire harness length excess, forming loop"
ACPE PAVE 9P SINGLE BATTERY VEHICLE GOT STOPPED (2 TIMES) DURING RUNNING ON THE PAVE TRACK ON 16TH OCT (B SHIFT),ACPE PAVE 9P SINGLE BATTERY VEHICLE GOT STOPPED (2 TIMES) DURING RUNNING ON THE PAVE TRACK ON 16TH OCT (B SHIFT).  1.  1ST TIME VEHICLE GOT AUTOMATICALLY OFF AT AROUND 89% SOC 2.  2ND TIME VEHICLE GOT  AUTOMATICALLY OFF AT AROUND 15% SOC.  FOUND BELOW ERRORS ALSO IN THE CAN LOG:  1. RESERVED_10  =  TRUE  (ALWAYS FROM THE TEST START) 2. BMS1_STATUS =  RESERVED (ALWAYS FROM THE TEST START)
INNER PANEL SLOT SIZE TO BE  INCREASED FOR COUPLER INSERTION OR  NO OF COUPLER SHOULD BE REDUCED,"INNER PANEL Slot size to be  increased for coupler insertion or  no of coupler should be reduced  , both sides"
MUFFLER MOUNTING CUSHION DAMAGE OBSERVED,"Muffler mounting cushion melt observed in AAKN_M1 Pave testing  vehicle at 2100 km (UID - AAKN_2004).  Previously issue reported at 1850 km, part changed at 1850 km PTS no. 0488_AAKN_HR1K_VEHM1_T0031 Part covered km - 250 km  Test details- Test- Pave testing Vehicle speed- 20-35 kmph  Sample part - Muffler"
RR WHEEL FLANGE FALL DURING SWINGARM ASSY,RR Wheel Flange Fall during Swingarm assy
MIL LAMP ON AND DTC CODES OBSERVED DURING ODT TESTING.,"ABZZ_4006 PP1 ODT vehicle has covered 5273 kms in ODT testing and the below issue is observed on the vehicle.  1. MIL Lamp observed ON & P0134 DTC code is observed in active state & P0139 code is observed in history state also description of these codes are not available in VCI. (P0139 stand for ""O2 Sensor Circuit Slow Response (Bank1, Sensor 2). (The P0134 code stands for ""Oxygen Sensor Circuit No Activity Detected (Bank 1, Sensor 1)."
SPEEDOMETER BACK COVER GAP NG,Speedometer back cover gap NG and uneven with collar 90502-RAA-0010 (Old collar 19052-AAB-A000 - No issue observed)
PIPE COMP EXHAUST RED RUST OBSERVED MAJORILY,Pipe Comp Exhaust Red Rust Observed majorily
PROFILE ARE NOT MATCHING,INTERSECTION IS NOT OK
REAR BEADING MAIN TUBE MOUNTING BRACKETS GOT BROKE FROM BOTH LH AND RH SIDE IN FLEET VEHICLE AFTER COVERING 1150 KM ON FLEET TRA,REAR BEADING MAIN TUBE MOUNTING BRACKETS GOT BROKE FROM BOTH LH AND RH SIDE IN FLEET VEHICLE AFTER COVERING 1150 KM ON FLEET TRACK
REAR BRAKE CABLE FOULING WITH FRAME NEAR STEM COMP STEERING &  MAIN STAND WHILE THE MAIN STAND IS DISENGAGED.,Rear brake cable fouling with Frame near stem comp steering &  Main Stand while the main stand is disengaged.
BOOT LIGHT WIRE FOUND EXCESS IN LENGTH.,Boot light wire found excess in length.
"TELL TALE FOR SIDE STAND IS CONTINOUSLY ON IN SPEEDOMETER OF ABHN M1 VEHICLES, THERE IS NO PROVISION OF FITMENT OF SENSOR FOR SI","TELL TALE FOR SIDE STAND IS CONTINOUSLY ON IN SPEEDOMETER OF ABHN M1 VEHICLES, THERE IS NO PROVISION OF FITMENT OF SENSOR FOR SIDE STAND IN HARNESS, UPDATED SPEEDOMETER SHOULD BE FIT IN VEHICLE DURING ASSEMBLY IN PROTO"
HORN WIRE FOULING WITH FRONT LH SHROUD,Horn wire fouling with front LH shroud in AAKN PP1 _ Fleet Test Vehicle. (UID - AAKN_4016).
CBS RIVET GOT BROKEN AFTER 1.11 LAC CYCLES STROKING DURABILITY TEST,ADJR-PP1 CBS rivet got broken after 1.11 lac cycles stroking durability test
"ADJR PP1 FRONT MASTER CYLINDER 4.5MM GAB OBSERVED BETWEEN PRIMARY & SECONDARY LEVER, LEVER MOUNTING BOLT ROTATED OBSERVED","ADJR PP1 front master cylinder lever ball end 4.5mm gab observed between primary & secondary lever, lever mounting bolt rotated observed after 1.8 lac cycles."
RR UNIT COUPLER NOT MATCHING WITH RR UNIT IN TOP VARIENT.,RR unit coupler not matching with RR unit in top varient.
MAKINO CLUTCH LEVER EFFORT OBSERVED MORE THAN SPECIFICATION,"Makino clutch lever effort observed more than specification in ADHL_M1 fleet testing vehicle.  Specification - 3.00 kgf (30 N) ~ 4.50 kgf (45 N)  Sample clutch Assly (Make- Makino) Avg. Clutch effort - 5.03 kgf (50N) Peak Clutch effort - 5.07 kgf (51N)  After 500 km Avg. Clutch effort - 5.06 kgf (51N) Peak Clutch effort - 5.15 kgf (52N)  Base Clutch effort (Make - FCC) Avg. Clutch effort - 4.12 kgf (41N) Peak Clutch effort - 4.39 kgf (43N)  Vehicle Details:- UID:-  ADHL_2001(OBD 2 Phase B with E-85) Km:- 0 km   Already shown to  EDD Mr. Sudeshwar Ram, Mr. Vijay Kumar & Piyush Gupta"
"WATER ENRTY OBSERVED IN FUSE BOX DURING VEHICLE WASHING, WATER WADE & VEHICLE SHOWER TEST.","During Washing, Water Wade & Shower Test, Water Entry observed in Fuse box. This may lead to oxidation, white deposits or later rust formation. Fuse Box short circuit issue reported in AAEL from market. Vehicle UID:- ADYB4007"
"FUEL TANK COVER FITMENT ISSUE, DUE TO LOWER PORTION OF FUEL TANK COVER GOT STUCK WITH WIRE HARNESS PRESENT AT LH & RH SIDE","Fuel tank cover fitment issue, due to lower portion of Fuel tank cover got stuck with wire harness present at LH & RH side"
HEATED O2 SENSOR CABLE ROUTING CORRECTION,HEATED O2 SENSOR CABLE ROUTING CORRECTION
O2 SENSOR COUPLER COVER MARKING MISSING,O2 Sensor coupler cover material & part marking missing
SECONDARY FUEL FILTER,"Enhance life of secondary fuel filter replacement at 40,000 kms or more to reduce service cost to Customers."
SUNBEAM MAKE PISTON NOT AVL IN BOM,Sunbeam make piston 13101-AAN-B020 to need to be added
WELD CRACK OBSERVED IN THE FRAME BODY BETWEEN MAIN PIPE & BRACKET SUPPORT LH DURING FRAME FATIGUE TEST.,Weld crack observed in the frame body between Main pipe & bracket support Lh during frame fatigue test after 1.6 lac cycles.
TIGHTENING TORQUE SPEC REQUIRED FOR BANJO BOLT WITH HECU,Tightening torque spec required for Banjo bolt with HECU
GAP BETWEEN SENSOR PROTECTOR TO CRANKCASE IS NOT MEETING THE DESIGN SPECS,Gap between sensor protector to crankcase is not meeting the design specifications. Observed gap is 11.2mm against the design spec of 21.1 mm
SPEEDOMETER MOUNTING TORQUE TO BE MENTIONED IN TORQUE CHART,"Speedometer mounting torque to be mentioned in torque chart , it is required becuase Meter glass broken issue happen in ACWA Project"
BCM UNIT CUSHION DAMAGED OBSERVED IN ACRG_4012 M1 FLEET VEHICLE.,"BCM Unit cushion damaged observed in ACRG_4012 M1 fleet vehicle. Issue was observed after coverage of 6500 kms in fleet testing.  Remark- VV recommended severity is B, Issue already discussed with sujit sahu."
STATIC GAP NOT AS PER SPEC BETWEEN COVER FRONT LOWER & COVER FLOOR SIDE A (CORNER),Static gap not as per spec between  cover front lower & cover floor side a (corner)  Measured Value (mm) LHS- 3.2 RHS- 3.3 Layout gap spec(mm) 0.3 Tolerance 1 mm max
HECU WIRE INSULATION IS NOT PROPER,HECU wire insulation is not proper in ADJS_M1   Fleet testing  vehicle @ 0 km.   Vehicle details- UID - ADJS 2009 (Xtreme 125R with ETB) ODO - 0 km
REAR LH SIDE COWL MOUNTING CRACK ODSERVED,"Rear LH side Cowl Mounting Crack odserved in ADYC_PP1 fleet testing vehicle.  Vehicle Details:- UID:-  ADYC_4001(OBD 2 Phase B) Km:- 5300 km  Tightening torque :- 3.4 n-m   Although Existing setup, CQA to provide detailed analysis for logical closure of PTS."
ETG CORD OBSERVED MORE AND RH SWITCH ASSEMBLY CORD OBSERVED SHORT.,"1. RH switch assembly cord length observed short. As a result, while swiveling the handlebar to the LH side the cord is observed under stress conditions. (Point-1) 2. ETG cord length is excess. Recommend to reduce its length by 40 to 50 mm (approx.). (Point-2)"
PANIC ALERT NOT WORKING IN PERFORMANCE TESTING VEHICLE.,"Panic alert not working in Performance Testing Vehicle. Additionally , Panic alert is working intermittently in Fleet Testing Vehicle. (Observation Shown to Mr Harshit MLH team) Km - 0"
MULTIPLE COLORE TAPE NEED TO BE AVOIDE,MULTIPLE COLORE TAPE NEED TO BE AVOIDE
DRIVE CHAIN LENGTH SHORT -WITH 108 LINK,Drive chain length short -with 108 link
SPEEDOMETER FAILING IN RADITED IMMUNITY TEST AT VEHICLE LEVEL,"During Radiated Immunity test: In frequency range 240MHz-300MHz, Ambient light sensor of Instrument cluster reads false Lux values (>1400 Lux, but actually it is <700 Lux), resultant Instrument cluster backlights turned into Day mode from night mode and Headlamp turned into DRL mode from FPL+LB mode. Threshold is 50V/m.  The similar observation is recorded for ACPD LCD Pricol speedometer (ACPDA7Y003000) at vehicle level testing (Note: In ACPD DRL Function is not present). Where it is not meeting even the regulation requirement."
GAP BETWEEN END STRG HANDLE AND GRIP COMP THROTTLE,"Gap observed between End strg handle and grip comp throttle is more than spec is 6.2 mm,which spec is 2.5+-1mm"
IN STAY NUMBER PLATE NUT CLIP TOUCHING TO EDGE BOTH SIDE.,In stay number plate Nut clip touching to edge both side.
BOTH SIDE MIRROR ADJUSTMENT OBSERVED TO BE HARD (UNABLE TO ADJUST),Side mirror adjustment observed to be hard (Unable to adjust) in ADJS_M1 Fleet testing  vehicle @0 km.  Vehicle details-  UID - ADJS2009 (Xtreme 125R with ETB) ODO - 0 km   Note: At the same time New Mirror sample assembled on vehicle.
TELL TALE VISIBILITY IS NOT UNIFORM,The visibility of tell tales is not uniform thoughout the respective symbols in both day and night condition.
FRAME FAILURE OBSERVED FROM STEERING HEAD GUSSET WELDING AREA DURING POST TEST INSPECTION (60 HRS.),Frame failure observed from Steering head gusset welding area during post test inspection (60 hrs.) road simulator (two poster) durability test.
"FONT SIZE OF ""X"" IN ""EXTREME"" DURING WELCOME ANIMATION IS NOT SATISFACTORY.","Font size of ""x"" in ""Extreme"" during welcome animation is small and not similar to other letters. Refer to the attached image."
SECONDARY O2 SENSOR SUPPLY NOT AS PER REQUIRED ASSEMBLY.,"Oxygen Sensor Heated with clip sub-assembled condition not available, assembled on line."
FENDER REAR ALLIGNMENT(HUGGER FENDER),Fender rear allignment(Hugger Fender)
ETB COUPLER FITMENT IS HARD DUE TO THE SHORT LENGTH,ETB Coupler fitment is hard due to the short length. Fitment is possible only after removing the cable mounting clip
INTERMITTENTLY ENGINE RPM IS FLUCTUATING FROM 3000 RPM TO 4000 RPM DURING RUNNING IN LOW SPEED ON FLEET TRACK.,Intermittently Engine RPM is fluctuating from 3000 rpm to 4000 rpm during running in low speed on fleet track. Issue observed on ACRG_4012 M1 fleet vehicle @8789 km in Fleet testing. Note- New ETB was fitted on vehicle @7555 km due to ETB stuck issue.  Remark- VV recommended severity is A
ECU SURFACE TEMEPERATURE OBSERVED OUT OF SPEC,"During Thermal test, ECU Surface Temperature observed out of Specification. Spec: 60 deg C    Observed: 68deg C Vehicle UID- ADJS2003"
RESISTANCE OF FUEL UNIT ASSY OBSERVED OUT OF SPECIFICATION,"During Fuel Unit Calibration Test, Resistance of  Fuel unit assy was observed out of specification. In Reserve condition, Resistance Spec:- 74(+ -3) Ohm Observed:- 69.6 Ohm Vendor:- JNS      Vehicle UID:- AAKN4017"
LH PILLION STEP STOPING ON FOOT GUARD,LH Pillion Step Stoping On Foot Guard
UPPER BRIDGE CLAMP MTG HOLE  ALIGNMENT  DIFFICULT,Upper bridge clamp mtg hole  alignment  difficult
"ETB FITMENT IN AC HOSE IS HARD, DIFFICULT TO FIT WITHIN CYCLE TIME","ETB fitment in AC Hose is hard, difficult to fit within cycle time"
FULL BUMP CONDITION (VEHICLE WITH SPRINGS REMOVED ON FR & RR CUSHION)  BANK ANGLE LH SIDE >30,First touch : main stand at 29  is less than spec  second touch point : Rider foot step 32
METER COUPLER WIRE NOT AS PER DESIGN,Meter coupler wire not as per design  As per design it should be -L  Actual on harness -L/R
SOFTWARE CAL ID UPDATION ON DRAWING,SOFTWARE CAL ID UPDATION ON DRAWING
"SPEEDOMETER COLLAR CHANGE REQUIRED, ALREADY ECN GIVEN IN ACYB, ACYBB4H000000 SHOULD BE ADDED INSTEAD OF 83518-KVH-9000","Speedometer Collar change required, already ECN given in ACYB, ACYBB4H000000 should be added instead of 83518-KVH-9000"
ENGINE KILL ANGLE IS NOT MEETING THE DESIGN CUT OFF ANGLE OF 65 +/- 5 DEGREES,Observed engine kill angle on banking the vehicle is 55.2 degrees on the LH side and 55.3 degrees on the RH-side against the design specification of 65 (+/- 5) degrees.
ROUTING VERIFICATION,Two clamps extra on the frame body for holding main harness (not show in layout)
ENGINE RPM UNSTABLE OBSERVED AT IDLING IN ALL THREE RIDING MODES.,"Engine RPM unstable observed at idling in all three riding modes. Issue observed in ACRG_4011 master vehicle during Drivability test. Issue also observed in ACRG_4009 performance and ACRG_4012 fleet vehicle.  Remark- VV recommended severity is B., Issue already discussed with aniket limje."
SPEEDO METER COLLAR FALLING DOWN DURING ASSEMBLY,Speedo meter collar falling down during assembly
FRONT BRAKE HOSE (MASTER CYLINDER TO CALIPER) LENGTH EXCESSIVE,Front brake hose (Master cylinder to caliper) length excessive
"IN CLUTCH DISENGAGED CONDITION, THE RATE OF RPM DROP IS LOW, I.E THE TIME TAKEN TO COME TO IDLING IS VERY HIGH.","In clutch disengaged condition, the rate of rpm drop is low, i.e the time taken to come to idling is very high. (compared to other vehicle or ACRF. Issue observed in ACRG_4011 M1 master vehicle during Drivability observation. Issue also observed in ACRG_4011 M1 master &  ACRG _4009 M1 performance vehicle.  Remark- VV recommended severity is B., Issue already discussed with rajagopal."
ADJR PP1 REAR BRAKE ARM FAILED IN STRENGTH TEST,"In Destructive strength test, ADJR PP1 Rear brake arm internal spline worn out at 292 kgf against 328.5 kgf acceptance load."
SOMETIMES DOUBLE PRESS IS REQUIRED TO CHANGE THE MODE.,Sometimes double press is required to change the mode in ADJS vehicle.  Please refer the attached video.  Vehicle details- Test: IDT testing  UID: ADJS4032 Vehicle Odo: 500 KM    Note 1: The observation shown to Mr. Sujit Sahoo (EE-Department).
RUBBING MARK OBSERVED ON REAR COWL,"Rubbing mark observed on rear cowl  due to fouling with rear fender in ADHL_M1 fleet testing vehicle.  Vehicle Details:- UID:-  ADHL_2001(OBD 2 Phase B with E-85) Km:- 10000 km  Although Existing setup, CQA to provide detailed analysis for logical closure of PTS."
USB CHARGER VERIFICATION.,The charger is accessible but the placement of the insertion port makes it difficult and inconvenient to plug in C type cables.  The port is located inside and is not visible.
SUB-CORD METER ROUTING MISMATCHED IN 2D & 3D VIEW,Sub-cord meter Routing mismatched in 2D & 3D view. Refer image for more details.
ROUTING VERIFICATION EOT SENSOR CORD,Eot Sensor cord is short
MULTI SOURCING AND COLOR CHANGES PARTS  UPDATION IN BOM,Multi sourcing and color changes parts  updation in BOM
REAR VIEW MIRROR FIELD OF VISION TEST,1. 'Distorted view is observed at edges of the  RH - mirror.  2. 'Mirror height from handle bar observed different on RH and LH side(yellow higllighted). RH mirror from handle bar - 130mm. LH mirror from handle bar - 120mm.
PART SHOULD BE HIDDEN,PART SHOULD BE HIDDEN
ACRG_4009_PP1- THERE'S A PINCH MARK OBSERVED ON THE CLUTCH SWITCH CABLE.,ACRG_4009_PP1- There's a pinch mark observed on the clutch switch cable. It seems the cable might be pinched between the fork bridge top and the headlight bracket during EELT test (handle rotation movement). This is the observation after the completion of EELT test on ACRG PP1 vehicle.  Remark- Issue discussed with Anuj kujur from VED & suggested for RCA & CM.
LEFT SIDE SWITCH CASE WIRE LENGTH SHORT,Left side switch case wire length short
HEAD LAMP COUPLER NOT MATCHING WITH HARNESS COUPLER. BOTH SIDE COUPLER SAME,Head lamp coupler not matching with harness coupler. Both side coupler same
