Issue title,HM5_ISSUE_DESC
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0048,'1. ACROSS CORNERS TO BE CHNAGED FROM 13.5 MIN TO 13.2 MIN 2. SEALANT TO BE 360 ACROSS SO (2 PLCS OPPOSITE ) TO BE REMOVED 3. SEALANT LENGTH TO BE 8-9 MM AS PER MANUFACTURING FEASBILITY 4. ASSEMBLY NAME TO BE SPECIFIED 5. RZ12.5 ON THREAD PORTING TO BE REMOVED AS CANNOT BE CHCEKED
DRAWING TO  BE UPDATDE AS PER MANUFACTURING FEEDBACK /TFC OR DRAWING SUGGESTIONS,Bkt RR cowl mtg R/L welding & part loading not feasible. Bkt Edge will foul with the RR cushion gusset support inner & outer welding.
DCRNPD_0070_KVNF_General_P2(P2)_0008,EXISTING PHANTOM REVISION : HANDLE COVER TOP HAS SILVER COLOURED BOLT(90101-KVE-8600-BOLT SPECIAL 5X16). PROPOSED PHANTOM REVISION :BLACK COLOURED BOLT (90102-AAWP-D000-BOLT SPECIAL 5X16) TO BE USED FOR HANDLE COVER TOP ASSEMBLY
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0027,To control the DOF and easy loading/unloading in W/F one extra tooling hole highligted with red pen require in rear bkt.
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0050,MATERIAL CHANGED IN 31833-ACP-0000-BUFFER
DRAIN HOLE ADDITION IN DRAWING,HERO STICKER ADDED  MASKING AREA ADDED ON FAIRING FRON R/L AND SIDE ORNAMENT R/L
DCRNPD_0067_KTCJ_General_E2(PP1-1)_0002,CLIP FOUND LOOSE WITH THE PART
DCRNPD_0063_KWHF_General_E2(PP1-1)_0027,"Hose's alighment mark not available ,  Tol std to be mentioned"
DCRNPD_0063_KWHF_General_E2(PP1-1)_0004,Rusting phenomenon observed on Seat Pillion Lock Pin
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0054,In existing ACG model code is not puch near to stamping line. not easy to identify.
DCRNPD_0073_KVEG_General_D3(Pre-Die-Go)_0043,Fuel Pump clogging due to higher qty of Anti-rust oil in Tank
DCRNPD_0106_AATA_GENERAL_P0(PO)_0069,Cover Cyl Head bolt (90003-KFG-0000) part quantity to be changed from 4 to 2nos. w.r.t base model as Cover Cyl head is common from Base model
CRANKCASE MANUFACTURABILITY,NEW ACCESSORIES ADDED 1. MAGNETIC TANK BAG 2. MOBILE HOLDER 3.ANTI GLARE MIRROR ASSY R 4.ANTI GLARE MIRROR ASSY L
